customer_id,age,price,quantity,gender,payment_method,category,shopping_mall,invoice_date
C100156,62.0,20.92,4.0,Male,Debit Card,Food & Beverage,Metropol AVM,5/4/2021
C100157,42.0,203.3,5.0,Female,Credit Card,Cosmetics,Mall of Istanbul,25/04/2022
C100159,32.0,179.2,5.0,Female,Debit Card,Toys,Mall of Istanbul,24/02/2022
C100168,48.0,5250.0,5.0,Male,Credit Card,Technology,Istinye Park,19/10/2022
C100172,41.0,143.36,4.0,Male,Cash,Toys,Viaport Outlet,9/3/2022
C100175,22.0,2400.68,4.0,Male,Credit Card,Shoes,Cevahir AVM,10/10/2021
C100176,54.0,900.24,3.0,Male,Credit Card,Clothing,Kanyon,12/7/2021
C100181,33.0,179.2,5.0,Female,Credit Card,Toys,Metrocity,16/02/2022
C100182,37.0,58.65,5.0,Male,Credit Card,Souvenir,Istinye Park,16/10/2021
C100184,29.0,2100.0,2.0,Female,Debit Card,Technology,Emaar Square Mall,24/04/2022
C100188,42.0,143.36,4.0,Male,Cash,Toys,Istinye Park,2/10/2022
C100189,33.0,107.52,3.0,Female,Cash,Toys,Metrocity,5/1/2023
C100190,37.0,35.84,1.0,Female,Cash,Toys,Kanyon,26/01/2023
C100198,63.0,81.32,2.0,Male,Cash,Cosmetics,Kanyon,31/01/2021
C100199,35.0,4200.0,4.0,Male,Debit Card,Technology,Istinye Park,12/12/2021
C100201,64.0,300.08,1.0,Female,Credit Card,Clothing,Metrocity,2/11/2021
C100204,59.0,203.3,5.0,Female,Cash,Cosmetics,Metrocity,30/07/2022
C100211,62.0,2400.68,4.0,Female,Credit Card,Shoes,Metrocity,24/11/2022
C100218,26.0,1500.4,5.0,Male,Cash,Clothing,Kanyon,6/11/2021
C100221,30.0,2400.68,4.0,Female,Cash,Shoes,Metrocity,24/01/2021
C100225,26.0,71.68,2.0,Female,Debit Card,Toys,Istinye Park,22/03/2022
C100232,24.0,600.17,1.0,Female,Debit Card,Shoes,Metropol AVM,11/1/2023
C100235,66.0,900.24,3.0,Female,Credit Card,Clothing,Viaport Outlet,13/12/2022
C100236,59.0,600.16,2.0,Female,Debit Card,Clothing,Metropol AVM,24/02/2023
C100241,28.0,162.64,4.0,Male,Cash,Cosmetics,Istinye Park,1/11/2021
C100242,25.0,5.23,1.0,Male,Debit Card,Food & Beverage,Metrocity,9/2/2021
C100246,25.0,600.16,2.0,Male,Cash,Clothing,Metrocity,10/12/2021
C100247,21.0,1200.34,2.0,Female,Cash,Shoes,Forum Istanbul,5/6/2022
C100253,62.0,600.17,1.0,Female,Credit Card,Shoes,Mall of Istanbul,7/11/2021
C100254,52.0,4200.0,4.0,Male,Credit Card,Technology,Mall of Istanbul,17/02/2021
C100256,38.0,15.69,3.0,Female,Debit Card,Food & Beverage,Mall of Istanbul,8/9/2022
C100259,22.0,71.68,2.0,Female,Credit Card,Toys,Metropol AVM,8/1/2021
C100261,63.0,1200.32,4.0,Male,Credit Card,Clothing,Emaar Square Mall,12/11/2022
C100272,23.0,20.92,4.0,Male,Cash,Food & Beverage,Metrocity,3/3/2022
C100273,40.0,300.08,1.0,Male,Cash,Clothing,Mall of Istanbul,2/3/2022
C100281,38.0,600.16,2.0,Female,Debit Card,Clothing,Kanyon,26/02/2023
C100282,31.0,600.16,2.0,Female,Cash,Clothing,Metrocity,2/10/2021
C100283,42.0,600.16,2.0,Female,Debit Card,Clothing,Kanyon,30/10/2021
C100284,52.0,3150.0,3.0,Male,Credit Card,Technology,Mall of Istanbul,29/06/2022
C100285,45.0,300.08,1.0,Female,Credit Card,Clothing,Metropol AVM,25/03/2022
C100286,58.0,1200.32,4.0,Male,Credit Card,Clothing,Metropol AVM,5/6/2021
C100291,39.0,35.19,3.0,Male,Cash,Souvenir,Emaar Square Mall,3/6/2021
C100297,39.0,121.98,3.0,Male,Debit Card,Cosmetics,Metrocity,12/9/2022
C100298,31.0,900.24,3.0,Female,Credit Card,Clothing,Mall of Istanbul,12/8/2021
C100299,22.0,15.15,1.0,Female,Credit Card,Books,Metrocity,23/09/2022
C100301,19.0,15.15,1.0,Female,Credit Card,Books,Mall of Istanbul,27/08/2021
C100305,44.0,300.08,1.0,Male,Cash,Clothing,Mall of Istanbul,22/11/2021
C100306,35.0,5250.0,5.0,Female,Cash,Technology,Metropol AVM,18/06/2021
C100307,51.0,300.08,1.0,Male,Credit Card,Clothing,Emaar Square Mall,6/1/2021
C100309,53.0,600.16,2.0,Male,Credit Card,Clothing,Kanyon,1/6/2021
C100311,66.0,162.64,4.0,Male,Debit Card,Cosmetics,Kanyon,1/9/2022
C100313,52.0,1500.4,5.0,Female,Credit Card,Clothing,Metropol AVM,22/11/2021
C100314,24.0,81.32,2.0,Male,Debit Card,Cosmetics,Mall of Istanbul,18/04/2021
C100315,60.0,1500.4,5.0,Female,Debit Card,Clothing,Metropol AVM,3/5/2022
C100322,24.0,5250.0,5.0,Female,Cash,Technology,Viaport Outlet,3/7/2022
C100329,36.0,10.46,2.0,Female,Cash,Food & Beverage,Cevahir AVM,22/09/2022
C100330,42.0,107.52,3.0,Male,Credit Card,Toys,Metrocity,18/07/2022
C100331,23.0,2400.68,4.0,Female,Cash,Shoes,Mall of Istanbul,5/4/2022
C100333,32.0,1500.4,5.0,Male,Credit Card,Clothing,Kanyon,25/02/2021
C100336,55.0,900.24,3.0,Male,Debit Card,Clothing,Zorlu Center,1/8/2021
C100346,63.0,1500.4,5.0,Male,Debit Card,Clothing,Mall of Istanbul,16/02/2021
C100347,58.0,1200.34,2.0,Female,Debit Card,Shoes,Metropol AVM,15/07/2022
C100349,40.0,1500.4,5.0,Male,Cash,Clothing,Cevahir AVM,5/3/2021
C100355,23.0,81.32,2.0,Female,Credit Card,Cosmetics,Zorlu Center,23/04/2022
C100361,40.0,15.69,3.0,Female,Cash,Food & Beverage,Istinye Park,4/4/2022
C100364,57.0,1500.4,5.0,Female,Cash,Clothing,Istinye Park,6/2/2022
C100367,51.0,11.73,1.0,Female,Cash,Souvenir,Forum Istanbul,28/02/2023
C100368,50.0,162.64,4.0,Female,Cash,Cosmetics,Kanyon,30/12/2022
C100369,57.0,1500.4,5.0,Female,Cash,Clothing,Istinye Park,19/08/2021
C100376,38.0,45.45,3.0,Female,Credit Card,Books,Metrocity,7/1/2021
C100379,20.0,1200.34,2.0,Female,Cash,Shoes,Metrocity,5/12/2021
C100383,27.0,5.23,1.0,Female,Cash,Food & Beverage,Viaport Outlet,16/02/2022
C100384,64.0,60.6,4.0,Male,Credit Card,Books,Mall of Istanbul,9/10/2021
C100386,66.0,900.24,3.0,Female,Cash,Clothing,Emaar Square Mall,5/10/2021
C100398,52.0,300.08,1.0,Male,Debit Card,Clothing,Mall of Istanbul,22/08/2022
C100400,60.0,300.08,1.0,Female,Credit Card,Clothing,Mall of Istanbul,23/12/2021
C100401,35.0,1500.4,5.0,Female,Credit Card,Clothing,Zorlu Center,22/09/2022
C100402,30.0,300.08,1.0,Female,Cash,Clothing,Istinye Park,15/02/2022
C100403,53.0,1500.4,5.0,Female,Credit Card,Clothing,Forum Istanbul,9/10/2022
C100404,36.0,15.69,3.0,Female,Debit Card,Food & Beverage,Viaport Outlet,28/04/2022
C100406,68.0,1500.4,5.0,Male,Debit Card,Clothing,Forum Istanbul,24/06/2021
C100410,58.0,900.24,3.0,Male,Debit Card,Clothing,Kanyon,9/7/2021
C100415,57.0,11.73,1.0,Male,Cash,Souvenir,Istinye Park,19/09/2021
C100416,64.0,5.23,1.0,Female,Debit Card,Food & Beverage,Istinye Park,26/07/2022
C100420,53.0,1200.32,4.0,Female,Cash,Clothing,Mall of Istanbul,28/02/2022
C100421,22.0,600.17,1.0,Male,Credit Card,Shoes,Metropol AVM,23/08/2021
C100427,36.0,121.98,3.0,Male,Cash,Cosmetics,Istinye Park,25/11/2022
C100438,34.0,1200.32,4.0,Female,Credit Card,Clothing,Mall of Istanbul,2/10/2021
C100439,52.0,71.68,2.0,Female,Cash,Toys,Emaar Square Mall,15/11/2021
C100440,32.0,5.23,1.0,Female,Cash,Food & Beverage,Kanyon,23/08/2022
C100441,35.0,900.24,3.0,Female,Credit Card,Clothing,Metropol AVM,19/08/2022
C100444,66.0,162.64,4.0,Male,Cash,Cosmetics,Mall of Istanbul,22/11/2022
C100446,27.0,143.36,4.0,Female,Cash,Toys,Metrocity,13/02/2021
C100449,42.0,10.46,2.0,Female,Cash,Food & Beverage,Istinye Park,15/08/2022
C100451,32.0,2400.68,4.0,Male,Cash,Shoes,Mall of Istanbul,30/07/2021
C100454,51.0,1200.32,4.0,Female,Debit Card,Clothing,Metrocity,6/3/2022
C100455,45.0,900.24,3.0,Female,Credit Card,Clothing,Mall of Istanbul,1/10/2022
C100459,26.0,15.69,3.0,Female,Credit Card,Food & Beverage,Metrocity,21/02/2023
C100462,54.0,1800.51,3.0,Female,Credit Card,Shoes,Mall of Istanbul,24/10/2021
C100463,48.0,10.46,2.0,Male,Credit Card,Food & Beverage,Metropol AVM,20/07/2021
C100467,57.0,26.15,5.0,Female,Cash,Food & Beverage,Kanyon,13/02/2022
C100471,40.0,121.98,3.0,Male,Debit Card,Cosmetics,Istinye Park,6/10/2022
C100472,64.0,5.23,1.0,Female,Cash,Food & Beverage,Metrocity,15/04/2021
C100473,66.0,10.46,2.0,Male,Debit Card,Food & Beverage,Metrocity,13/12/2022
C100474,28.0,1500.4,5.0,Female,Credit Card,Clothing,Zorlu Center,15/08/2021
C100477,45.0,20.92,4.0,Female,Debit Card,Food & Beverage,Mall of Istanbul,16/09/2022
C100478,29.0,179.2,5.0,Female,Cash,Toys,Mall of Istanbul,27/12/2021
C100481,49.0,60.6,4.0,Female,Cash,Books,Metropol AVM,12/8/2022
C100484,48.0,143.36,4.0,Male,Cash,Toys,Metrocity,19/09/2022
C100488,57.0,15.69,3.0,Female,Cash,Food & Beverage,Kanyon,19/02/2022
C100490,36.0,1200.32,4.0,Male,Debit Card,Clothing,Viaport Outlet,31/12/2022
C100493,53.0,71.68,2.0,Female,Cash,Toys,Istinye Park,27/05/2021
C100494,38.0,3150.0,3.0,Male,Credit Card,Technology,Mall of Istanbul,5/2/2021
C100496,53.0,1200.34,2.0,Male,Cash,Shoes,Kanyon,6/6/2022
C100507,33.0,1500.4,5.0,Male,Cash,Clothing,Mall of Istanbul,24/01/2022
C100508,22.0,900.24,3.0,Female,Credit Card,Clothing,Kanyon,16/12/2022
C100515,46.0,143.36,4.0,Female,Cash,Toys,Kanyon,12/4/2022
C100519,55.0,600.16,2.0,Male,Credit Card,Clothing,Cevahir AVM,27/03/2021
C100521,62.0,107.52,3.0,Male,Credit Card,Toys,Mall of Istanbul,10/8/2022
C100523,31.0,1200.32,4.0,Male,Cash,Clothing,Kanyon,15/06/2021
C100525,36.0,600.16,2.0,Female,Cash,Clothing,Metrocity,2/4/2022
C100529,19.0,15.69,3.0,Female,Credit Card,Food & Beverage,Metropol AVM,15/02/2022
C100535,67.0,35.84,1.0,Female,Cash,Toys,Emaar Square Mall,29/12/2021
C100539,28.0,58.65,5.0,Female,Credit Card,Souvenir,Metrocity,15/08/2021
C100540,48.0,10.46,2.0,Male,Debit Card,Food & Beverage,Istinye Park,5/2/2022
C100544,40.0,121.98,3.0,Female,Debit Card,Cosmetics,Metrocity,24/06/2022
C100545,68.0,4200.0,4.0,Male,Credit Card,Technology,Mall of Istanbul,7/1/2023
C100549,48.0,203.3,5.0,Male,Debit Card,Cosmetics,Kanyon,19/12/2022
C100551,32.0,1050.0,1.0,Female,Debit Card,Technology,Kanyon,5/1/2023
C100561,66.0,2400.68,4.0,Male,Cash,Shoes,Metropol AVM,23/01/2023
C100563,20.0,300.08,1.0,Female,Cash,Clothing,Zorlu Center,27/04/2022
C100570,62.0,1500.4,5.0,Female,Debit Card,Clothing,Metrocity,30/01/2021
C100572,29.0,900.24,3.0,Female,Cash,Clothing,Metropol AVM,11/6/2022
C100574,27.0,600.16,2.0,Female,Credit Card,Clothing,Kanyon,24/03/2022
C100576,30.0,1200.32,4.0,Male,Cash,Clothing,Metropol AVM,12/4/2022
C100579,28.0,121.98,3.0,Female,Cash,Cosmetics,Viaport Outlet,23/09/2022
C100587,57.0,71.68,2.0,Female,Debit Card,Toys,Kanyon,8/5/2022
C100599,28.0,1500.4,5.0,Female,Debit Card,Clothing,Kanyon,28/10/2021
C100605,48.0,26.15,5.0,Male,Credit Card,Food & Beverage,Metrocity,10/7/2021
C100606,25.0,1200.32,4.0,Female,Credit Card,Clothing,Forum Istanbul,16/06/2022
C100607,54.0,5250.0,5.0,Female,Cash,Technology,Istinye Park,21/07/2021
C100610,37.0,300.08,1.0,Female,Cash,Clothing,Kanyon,27/04/2021
C100622,23.0,71.68,2.0,Male,Cash,Toys,Forum Istanbul,22/03/2021
C100625,27.0,11.73,1.0,Male,Cash,Souvenir,Mall of Istanbul,23/01/2022
C100629,62.0,179.2,5.0,Male,Debit Card,Toys,Mall of Istanbul,31/01/2021
C100630,69.0,1800.51,3.0,Male,Credit Card,Shoes,Metropol AVM,5/1/2021
C100636,38.0,179.2,5.0,Male,Credit Card,Toys,Mall of Istanbul,5/7/2021
C100639,44.0,900.24,3.0,Female,Credit Card,Clothing,Emaar Square Mall,25/07/2021
C100640,22.0,600.16,2.0,Female,Cash,Clothing,Metropol AVM,23/02/2022
C100642,63.0,1200.34,2.0,Female,Debit Card,Shoes,Emaar Square Mall,12/2/2021
C100648,25.0,900.24,3.0,Male,Cash,Clothing,Kanyon,7/4/2021
C100651,58.0,1050.0,1.0,Female,Credit Card,Technology,Kanyon,10/2/2022
C100654,19.0,900.24,3.0,Female,Debit Card,Clothing,Mall of Istanbul,6/11/2022
C100655,22.0,81.32,2.0,Female,Credit Card,Cosmetics,Mall of Istanbul,21/04/2021
C100656,63.0,1500.4,5.0,Female,Cash,Clothing,Kanyon,9/1/2022
C100657,69.0,46.92,4.0,Female,Cash,Souvenir,Zorlu Center,30/01/2021
C100661,19.0,1800.51,3.0,Female,Cash,Shoes,Cevahir AVM,25/07/2021
C100663,52.0,5.23,1.0,Male,Credit Card,Food & Beverage,Metrocity,4/12/2021
C100666,50.0,71.68,2.0,Female,Cash,Toys,Mall of Istanbul,11/5/2021
C100671,44.0,600.16,2.0,Male,Credit Card,Clothing,Cevahir AVM,21/03/2022
C100672,25.0,1500.4,5.0,Male,Cash,Clothing,Mall of Istanbul,17/05/2022
C100676,26.0,900.24,3.0,Female,Debit Card,Clothing,Metrocity,4/7/2021
C100677,51.0,900.24,3.0,Female,Cash,Clothing,Metrocity,14/01/2022
C100684,38.0,35.84,1.0,Female,Credit Card,Toys,Kanyon,20/02/2022
C100687,59.0,1500.4,5.0,Female,Debit Card,Clothing,Emaar Square Mall,18/06/2022
C100688,39.0,35.19,3.0,Female,Credit Card,Souvenir,Mall of Istanbul,27/04/2022
C100690,36.0,2400.68,4.0,Female,Credit Card,Shoes,Istinye Park,12/4/2021
C100691,51.0,600.17,1.0,Female,Credit Card,Shoes,Kanyon,18/07/2022
C100694,61.0,20.92,4.0,Female,Cash,Food & Beverage,Mall of Istanbul,4/12/2021
C100696,39.0,1800.51,3.0,Female,Debit Card,Shoes,Cevahir AVM,24/09/2022
C100697,40.0,203.3,5.0,Male,Credit Card,Cosmetics,Forum Istanbul,8/6/2021
C100703,47.0,203.3,5.0,Male,Credit Card,Cosmetics,Kanyon,29/01/2023
C100705,21.0,600.16,2.0,Female,Cash,Clothing,Mall of Istanbul,30/11/2021
C100706,43.0,1800.51,3.0,Female,Credit Card,Shoes,Mall of Istanbul,24/01/2022
C100709,52.0,3000.85,5.0,Male,Cash,Shoes,Viaport Outlet,12/3/2022
C100710,36.0,60.6,4.0,Female,Cash,Books,Metropol AVM,3/12/2021
C100713,23.0,3150.0,3.0,Male,Cash,Technology,Metrocity,13/01/2023
C100718,39.0,143.36,4.0,Female,Cash,Toys,Metrocity,7/5/2022
C100720,52.0,900.24,3.0,Female,Credit Card,Clothing,Mall of Istanbul,7/3/2023
C100722,41.0,11.73,1.0,Female,Cash,Souvenir,Viaport Outlet,16/09/2022
C100725,55.0,300.08,1.0,Female,Cash,Clothing,Metrocity,23/01/2022
C100728,50.0,300.08,1.0,Female,Cash,Clothing,Kanyon,15/04/2022
C100735,57.0,162.64,4.0,Female,Credit Card,Cosmetics,Kanyon,20/06/2021
C100736,35.0,300.08,1.0,Male,Cash,Clothing,Istinye Park,14/12/2022
C100743,54.0,107.52,3.0,Male,Debit Card,Toys,Mall of Istanbul,28/02/2022
C100745,46.0,4200.0,4.0,Male,Cash,Technology,Cevahir AVM,22/01/2022
C100746,54.0,71.68,2.0,Male,Debit Card,Toys,Mall of Istanbul,5/6/2022
C100748,35.0,600.17,1.0,Female,Debit Card,Shoes,Metropol AVM,10/1/2022
C100753,44.0,10.46,2.0,Male,Cash,Food & Beverage,Mall of Istanbul,14/05/2022
C100754,54.0,162.64,4.0,Male,Credit Card,Cosmetics,Kanyon,9/10/2022
C100758,56.0,900.24,3.0,Male,Cash,Clothing,Istinye Park,3/2/2022
C100760,45.0,1200.32,4.0,Male,Cash,Clothing,Kanyon,13/12/2022
C100764,54.0,900.24,3.0,Female,Cash,Clothing,Cevahir AVM,22/09/2022
C100765,20.0,40.66,1.0,Male,Cash,Cosmetics,Forum Istanbul,9/10/2021
C100768,65.0,15.69,3.0,Male,Debit Card,Food & Beverage,Metropol AVM,13/07/2022
C100772,45.0,1200.32,4.0,Female,Debit Card,Clothing,Zorlu Center,25/03/2021
C100778,69.0,600.17,1.0,Female,Credit Card,Shoes,Zorlu Center,23/06/2022
C100782,22.0,1800.51,3.0,Female,Debit Card,Shoes,Zorlu Center,17/03/2021
C100783,58.0,10.46,2.0,Male,Cash,Food & Beverage,Viaport Outlet,29/07/2022
C100786,44.0,600.16,2.0,Male,Cash,Clothing,Kanyon,5/3/2022
C100787,35.0,162.64,4.0,Female,Credit Card,Cosmetics,Kanyon,22/12/2021
C100794,19.0,40.66,1.0,Female,Cash,Cosmetics,Metrocity,15/03/2021
C100795,44.0,60.6,4.0,Female,Credit Card,Books,Mall of Istanbul,15/09/2021
C100797,31.0,1800.51,3.0,Female,Cash,Shoes,Mall of Istanbul,11/12/2022
C100799,30.0,81.32,2.0,Male,Debit Card,Cosmetics,Kanyon,28/04/2022
C100801,41.0,203.3,5.0,Male,Credit Card,Cosmetics,Forum Istanbul,4/3/2023
C100804,29.0,40.66,1.0,Male,Cash,Cosmetics,Mall of Istanbul,1/3/2023
C100812,46.0,3150.0,3.0,Male,Cash,Technology,Kanyon,21/02/2022
C100816,20.0,26.15,5.0,Female,Debit Card,Food & Beverage,Cevahir AVM,16/04/2022
C100822,35.0,1500.4,5.0,Male,Cash,Clothing,Zorlu Center,22/12/2021
C100828,63.0,300.08,1.0,Male,Credit Card,Clothing,Zorlu Center,22/01/2023
C100833,40.0,179.2,5.0,Female,Debit Card,Toys,Cevahir AVM,19/07/2022
C100840,40.0,1200.32,4.0,Female,Debit Card,Clothing,Mall of Istanbul,4/12/2021
C100841,28.0,600.16,2.0,Male,Credit Card,Clothing,Mall of Istanbul,2/2/2022
C100843,61.0,107.52,3.0,Female,Credit Card,Toys,Metrocity,21/01/2023
C100844,33.0,1200.34,2.0,Female,Credit Card,Shoes,Metropol AVM,26/02/2022
C100849,27.0,300.08,1.0,Male,Credit Card,Clothing,Cevahir AVM,15/12/2022
C100851,50.0,900.24,3.0,Male,Credit Card,Clothing,Metrocity,7/8/2022
C100852,31.0,26.15,5.0,Male,Cash,Food & Beverage,Metropol AVM,18/10/2022
C100854,66.0,300.08,1.0,Female,Cash,Clothing,Kanyon,14/08/2021
C100857,67.0,2400.68,4.0,Male,Debit Card,Shoes,Forum Istanbul,23/06/2022
C100867,67.0,1200.32,4.0,Female,Credit Card,Clothing,Metrocity,2/9/2022
C100869,65.0,107.52,3.0,Male,Cash,Toys,Metrocity,28/04/2021
C100879,65.0,1500.4,5.0,Female,Credit Card,Clothing,Mall of Istanbul,21/06/2021
C100885,40.0,20.92,4.0,Female,Cash,Food & Beverage,Metropol AVM,8/2/2022
C100894,59.0,600.16,2.0,Female,Credit Card,Clothing,Metrocity,8/3/2023
C100895,55.0,11.73,1.0,Male,Cash,Souvenir,Zorlu Center,22/07/2021
C100899,57.0,121.98,3.0,Female,Credit Card,Cosmetics,Kanyon,13/10/2021
C100900,30.0,81.32,2.0,Female,Debit Card,Cosmetics,Metropol AVM,5/11/2021
C100901,45.0,3000.85,5.0,Female,Debit Card,Shoes,Mall of Istanbul,19/04/2022
C100902,23.0,600.17,1.0,Male,Debit Card,Shoes,Kanyon,2/10/2021
C100910,61.0,1800.51,3.0,Female,Cash,Shoes,Zorlu Center,29/07/2022
C100911,47.0,1200.32,4.0,Female,Credit Card,Clothing,Mall of Istanbul,3/7/2021
C100919,69.0,30.3,2.0,Male,Credit Card,Books,Metrocity,17/12/2021
C100921,18.0,143.36,4.0,Female,Cash,Toys,Istinye Park,16/04/2021
C100926,57.0,2100.0,2.0,Female,Debit Card,Technology,Emaar Square Mall,20/07/2021
C100931,27.0,300.08,1.0,Male,Credit Card,Clothing,Mall of Istanbul,11/8/2022
C100935,57.0,1200.32,4.0,Male,Credit Card,Clothing,Cevahir AVM,28/02/2022
C100936,32.0,900.24,3.0,Male,Debit Card,Clothing,Istinye Park,23/10/2021
C100940,24.0,600.16,2.0,Male,Debit Card,Clothing,Kanyon,2/3/2022
C100941,26.0,1200.32,4.0,Female,Credit Card,Clothing,Cevahir AVM,27/03/2022
C100944,27.0,600.16,2.0,Male,Credit Card,Clothing,Kanyon,6/10/2021
C100948,33.0,121.98,3.0,Female,Cash,Cosmetics,Istinye Park,9/9/2022
C100952,39.0,900.24,3.0,Male,Cash,Clothing,Mall of Istanbul,29/07/2022
C100955,48.0,35.19,3.0,Male,Credit Card,Souvenir,Mall of Istanbul,4/1/2023
C100960,54.0,5.23,1.0,Female,Debit Card,Food & Beverage,Emaar Square Mall,21/07/2021
C100962,44.0,10.46,2.0,Male,Cash,Food & Beverage,Mall of Istanbul,14/01/2022
C100966,56.0,162.64,4.0,Female,Debit Card,Cosmetics,Emaar Square Mall,29/11/2022
C100978,23.0,300.08,1.0,Female,Debit Card,Clothing,Metrocity,26/10/2021
C100979,27.0,1200.32,4.0,Female,Cash,Clothing,Forum Istanbul,8/8/2022
C100980,40.0,1500.4,5.0,Female,Cash,Clothing,Forum Istanbul,28/03/2021
C100986,47.0,1200.32,4.0,Female,Cash,Clothing,Mall of Istanbul,4/6/2021
C100987,62.0,15.69,3.0,Female,Credit Card,Food & Beverage,Kanyon,20/10/2021
C100994,60.0,203.3,5.0,Female,Credit Card,Cosmetics,Mall of Istanbul,6/3/2021
C101001,29.0,600.16,2.0,Male,Cash,Clothing,Cevahir AVM,11/3/2022
C101002,29.0,1200.32,4.0,Female,Cash,Clothing,Metrocity,11/1/2021
C101004,18.0,1200.34,2.0,Male,Cash,Shoes,Viaport Outlet,16/08/2022
C101010,46.0,3000.85,5.0,Female,Credit Card,Shoes,Cevahir AVM,29/05/2021
C101014,49.0,300.08,1.0,Male,Credit Card,Clothing,Emaar Square Mall,4/7/2021
C101018,28.0,300.08,1.0,Female,Credit Card,Clothing,Kanyon,10/10/2021
C101024,28.0,1500.4,5.0,Male,Debit Card,Clothing,Metropol AVM,21/08/2022
C101027,41.0,5.23,1.0,Female,Credit Card,Food & Beverage,Viaport Outlet,16/03/2021
C101034,41.0,23.46,2.0,Female,Credit Card,Souvenir,Kanyon,18/11/2022
C101035,18.0,45.45,3.0,Male,Cash,Books,Metrocity,9/1/2021
C101038,45.0,600.16,2.0,Female,Debit Card,Clothing,Forum Istanbul,3/1/2021
C101041,38.0,4200.0,4.0,Female,Cash,Technology,Metropol AVM,12/6/2021
C101045,33.0,1200.34,2.0,Male,Debit Card,Shoes,Metropol AVM,24/02/2021
C101052,65.0,40.66,1.0,Female,Debit Card,Cosmetics,Forum Istanbul,24/05/2022
C101054,24.0,26.15,5.0,Male,Debit Card,Food & Beverage,Kanyon,21/03/2022
C101055,46.0,75.75,5.0,Male,Cash,Books,Kanyon,2/6/2022
C101061,57.0,600.16,2.0,Male,Credit Card,Clothing,Metrocity,12/6/2022
C101064,66.0,600.16,2.0,Female,Cash,Clothing,Mall of Istanbul,1/6/2022
